date         ok_total  void_tot   ok+void  ok_n void_n
2026-08-07   8099.92    598.50   8698.42   47    2
2026-08-08   1070.00      0.00   1070.00    7    0
2026-08-09   1469.40    153.00   1622.40   11    3
2026-08-10   1040.00    358.00   1398.00    7    6
2026-08-11   2014.00    120.00   2134.00   14    1
2026-08-12   1380.00      0.00   1380.00   11    0
2026-08-13    530.00      0.00    530.00    5    0
2026-08-17   5639.98    100.00   5739.98   46    1
2026-08-18    900.00      0.00    900.00    6    0
2026-08-19   4320.02      0.00   4320.02   35    0
2026-08-20   2000.00    320.00   2320.00   18    2
2026-08-21   5142.00      0.00   5142.00   24    0
2026-08-22   1860.04   1242.00   3102.04   12    7

=== sale_items vs sales.total MISMATCH ===
 mismatches: 0

=== sales with NO items ===
